"id","nome","nome_popular","pais","estado","cidade","estadio","divisao_nacional","forca_financeira"
"athletico_pr","Club Athletico Paranaense","Athletico-PR","BR","PR","Curitiba","Ligga Arena","serie_a","media"
"atletico_alagoinhas","Atlético de Alagoinhas","Atlético-BA","BR","BA","Alagoinhas","Municipal Antônio de Figueiredo Carneiro","",""
"atletico_cajazeirense","Atlético Cajazeirense","Atlético Cajazeirense","BR","PB","Cajazeiras","","",""
"atletico_gloriense","Associação Desportiva Atlético Gloriense","Atlético Gloriense","BR","SE","Nossa Senhora da Glória","Editon Oliveira da Silva","",""
"atletico_goianiense","Atlético Clube Goianiense","Atlético-GO","BR","GO","Goiânia","Antônio Accioly","serie_b",""
"atletico_mg","Clube Atlético Mineiro","Atlético-MG","BR","MG","Belo Horizonte","Arena MRV","serie_a","alta"
"atletico_roraima","Atlético Roraima Futebol Clube","Atlético Roraima","BR","RR","Boa Vista","","",""
"audax_rio","Audax Rio Esporte Clube","Audax Rio","BR","RJ","Saquarema","","",""
"avai","Avaí Futebol Clube","Avaí","BR","SC","Florianópolis","Ressacada","serie_b","baixa"
"avenida","Esporte Clube Avenida","Avenida","BR","RS","Santa Cruz do Sul","Dos Eucaliptos","",""
"aymores","Sport Club Aymorés","Aymorés","BR","MG","Ubá","","",""
"azuriz","Azuriz Futebol Clube","Azuriz","BR","PR","Pato Branco","Os Pioneiros","",""
"bahia","Esporte Clube Bahia","Bahia","BR","BA","Salvador","Arena Fonte Nova","serie_a","media"
"bahia_de_feira","Bahia de Feira","Bahia de Feira","BR","BA","Feira de Santana","Arena Cajueiro","",""
"bandeirante","Bandeirante Esporte Clube","Bandeirante","BR","SP","Birigui","","",""
"bangu","Bangu Atlético Clube","Bangu","BR","RJ","Rio de Janeiro","Moça Bonita","",""
"barcelona_ilheus","Barcelona Futebol Clube","Barcelona","BR","BA","Ilhéus","Mário Pessoa","",""
"barcelona_ro","Barcelona Futebol Clube (RO)","Barcelona-RO","BR","RO","Porto Velho","","",""
"bare","Baré Esporte Clube","Baré","BR","RR","Boa Vista","","",""
"barra_fc","Barra Futebol Clube","Barra FC","BR","SC","Balneário Camboriú","","serie_c",""
"barreiras_fc","Barreiras Futebol Clube","Barreiras FC","BR","BA","Barreiras","Geraldão","",""
"barretos","Barretos Esporte Clube","Barretos","BR","SP","Barretos","","",""
"bataguassu","Associação Atlética Bataguassu","Bataguassu","BR","MS","Bataguassu","","",""
"bela_vista_to","Bela Vista Futebol Cachoeirense","Bela Vista","BR","TO","Cachoeirinha","","",""
"belo_jardim","Belo Jardim Futebol Clube","Belo Jardim","BR","PE","Belo Jardim","","",""
"betim_fc","Betim Futebol Clube","Betim","BR","MG","Betim","Arena Vera Cruz","",""
"boa_esporte","Boa Esporte Clube","Boa Esporte","BR","MG","Varginha","Municipal Prefeito Luiz Dilzon de Melo","",""
"boavista_rj","Boavista Sport Club","Boavista","BR","RJ","Saquarema","Elcyr Resende de Mendonça","",""
"botafogo","Botafogo de Futebol e Regatas","Botafogo","BR","RJ","Rio de Janeiro","Nilton Santos","serie_a","alta"
"botafogo_pb","Botafogo Futebol Clube (PB)","Botafogo-PB","BR","PB","João Pessoa","","serie_c",""
"botafogo_sp","Botafogo Futebol Clube (Ribeirão Preto)","Botafogo-SP","BR","SP","Ribeirão Preto","","serie_b",""
"bragantino_pa","Bragantino Clube do Pará","Bragantino-PA","BR","PA","Bragança","","",""
"brasil_farroupilha","Sociedade Esportiva Recreativa e Cultural Brasil","Brasil de Farroupilha","BR","RS","Farroupilha","","",""
"brasil_pelotas","Grêmio Esportivo Brasil","Brasil de Pelotas","BR","RS","Pelotas","Bento Freitas","",""
"brasilia_fc","Brasília Futebol Clube","Brasília","BR","DF","Brasília","Nacional Mané Garrincha","",""
"brasiliense","Brasiliense Futebol Clube","Brasiliense","BR","DF","Taguatinga","Elmo Serejo Farias","",""
"brusque_fc","Brusque Futebol Clube","Brusque","BR","SC","Brusque","Augusto Bauer","serie_c",""
"caldense","Associação Atlética Caldense","Caldense","BR","MG","Poços de Caldas","Municipal Ronaldo Junqueira","",""
"camacari","Camaçari Futebol Clube","Camaçari","BR","BA","Camaçari","Armando Oliveira","",""
"camboriu_fc","Camboriú Futebol Clube","Camboriú","BR","SC","Balneário Camboriú","","",""
"cameta","Cametá Esporte Clube","Cametá","BR","PA","Cametá","","",""
"campinense","Campinense Clube","Campinense","BR","PB","Campina Grande","","",""
"cap_pi","Clube Atlético Piauiense","CAP","BR","PI","Teresina","","",""
"capital_cf","Capital Clube de Futebol","Capital","BR","DF","Paranoá","JK","",""
"capital_fc_to","Capital Futebol Clube","Capital","BR","TO","Palmas","Nilton Santos","",""
"capitao_poco","Capitão Poço Futebol Clube","Capitão Poço","BR","PA","Capitão Poço","","",""
"capivariano","Capivariano Futebol Clube","Capivariano","BR","SP","Capivari","","",""
"carlos_renaux","Clube Atlético Carlos Renaux","Carlos Renaux","BR","SC","Brusque","Augusto Bauer","",""
"caruaru_city","Caruaru City","Caruaru City","BR","PE","Caruaru","","",""
"castanhal","Castanhal Esporte Clube","Castanhal","BR","PA","Castanhal","","",""
"catanduva","Catanduva Futebol Clube","Catanduva","BR","SP","Catanduva","","",""
"caxias","Sociedade Esportiva e Recreativa Caxias do Sul","Caxias","BR","RS","Caxias do Sul","Francisco Stédile","serie_c",""
"ceara","Ceará Sporting Club","Ceará","BR","CE","Fortaleza","Arena Castelão","serie_b","media"
"ceilandia","Ceilândia Esporte Clube","Ceilândia","BR","DF","Ceilândia","Abadião","",""
"centro_limoeirense","Centro Limoeirense de Futebol","Centro Limoeirense","BR","PE","Limoeiro","","",""
"centro_oeste_go","Centro Oeste Futebol Clube","Centro Oeste","BR","GO","Senador Canedo","Jaime Guerra","",""
"chapada_fc","Chapada Futebol Clube","Chapada","BR","MT","Chapada dos Guimarães","Apolônio Bouret de Mello","",""
"chapecoense","Associação Chapecoense de Futebol","Chapecoense","BR","SC","Chapecó","Arena Condá","serie_a","baixa"
"cianorte","Cianorte Futebol Clube","Cianorte","BR","PR","Cianorte","Albino Turbay","",""
"coimbra_ec","Coimbra Esporte Clube","Coimbra","BR","MG","Contagem","","",""
"colorado_caieiras","Colorado Esporte Clube (Caieiras)","Colorado Caieiras","BR","SP","Caieiras","","",""
"comercial_ribeirao_preto","Comercial Futebol Clube","Comercial","BR","SP","Ribeirão Preto","","",""
"concordia_ac","Concórdia Atlético Clube","Concórdia","BR","SC","Concórdia","Domingos Machado de Lima","",""
"confianca","Sport Club Confiança","Confiança","BR","SE","Aracaju","Lourival Baptista","serie_c",""
"confianca_pb","Confiança (PB)","Confiança-PB","BR","PB","Sapé","","",""
"corinthians","Sport Club Corinthians Paulista","Corinthians","BR","SP","São Paulo","Neo Química Arena","serie_a","alta"
"corisabba","Associação Atlética Corisabbá","Corisabbá","BR","PI","Floriano","","",""
"coritiba","Coritiba Foot Ball Club","Coritiba","BR","PR","Curitiba","Couto Pereira","serie_a","media"
"corumbaense","Corumbaense Futebol Clube","Corumbaense","BR","MS","Corumbá","","",""
"coruripe","Coruripe Futebol Clube","Coruripe","BR","AL","Coruripe","","",""
"costa_rica_ms","Costa Rica Esporte Clube","Costa Rica","BR","MS","Costa Rica","","",""
"cra_aquidauana","Clube de Regatas Aquidauana","CRA","BR","MS","Aquidauana","","",""
"crac","CRAC","CRAC","BR","GO","Catalão","Genervino da Fonseca","",""
"crb","Clube de Regatas Brasil","CRB","BR","AL","Maceió","Rei Pelé","serie_b","baixa"
"criciuma","Criciúma Esporte Clube","Criciúma","BR","SC","Criciúma","Heriberto Hülse","serie_b","baixa"
"cristal","Clube Atlético Cristal","Cristal","BR","AP","Macapá","","",""
"cruzeiro","Cruzeiro Esporte Clube","Cruzeiro","BR","MG","Belo Horizonte","Mineirão","serie_a","alta"
"cruzeiro_al","Esporte Clube Cruzeiro (Arapiraca)","Cruzeiro-AL","BR","AL","Arapiraca","","",""
"csa","Centro Sportivo Alagoano","CSA","BR","AL","Maceió","","serie_d",""
"cse","CSE","CSE","BR","AL","Palmeira dos Índios","","",""
"cuiaba","Cuiabá Esporte Clube","Cuiabá","BR","MT","Cuiabá","Arena Pantanal","serie_b","baixa"
"decisao","Decisão","Decisão","BR","PE","Goiana","José Dionísio do Carmo","",""
"democrata_gv","Esporte Clube Democrata","Democrata-GV","BR","MG","Governador Valadares","José Mammoud Abbas","",""
"democrata_sl","Democrata Futebol Clube","Democrata-SL","BR","MG","Sete Lagoas","Joaquim Henrique Nogueira","",""
"desportiva_aracaju","Desportiva Aracaju Futebol Clube","Desportiva Aracaju","BR","SE","Aracaju","","",""
"desportiva_ferroviaria","Associação Desportiva Ferroviária Vale do Rio Doce","Desportiva Ferroviária","BR","ES","Cariacica","","",""
"desportivo_brasil","Desportivo Brasil","Desportivo Brasil","BR","SP","Porto Feliz","","",""
"dorense","Dorense Futebol Clube","Dorense","BR","SE","Nossa Senhora das Dores","","",""
"dourados_ac","Dourados Atlético Clube","DAC","BR","MS","Dourados","","",""
"duque_de_caxias","Duque de Caxias Futebol Clube","Duque de Caxias","BR","RJ","Duque de Caxias","","",""
"ec_sao_bernardo","Esporte Clube São Bernardo","EC São Bernardo","BR","SP","São Bernardo do Campo","1º de Maio","",""
"ecpp_vitoria_conquista","Esporte Clube Primeiro Passo","ECPP","BR","BA","Vitória da Conquista","","",""
"ecus","Esporte Clube União Suzano","ECUS","BR","SP","Suzano","Suzanão","",""
"esporte_pb","Esporte Clube Esporte","Esporte","BR","PB","Patos","","",""
"esportivo_bento_goncalves","Clube Esportivo Bento Gonçalves","Esportivo","BR","RS","Bento Gonçalves","","",""
"falcon","Falcon Football Club","Falcon","BR","SE","Aracaju","","",""
"fc_cascavel","FC Cascavel","Cascavel","BR","PR","Cascavel","Olímpico Regional Arnaldo Busatto","",""
"feira_fc","Feira Futebol Clube","Feira FC","BR","BA","Feira de Santana","","",""
"ferroviaria","Associação Ferroviária de Esportes","Ferroviária","BR","SP","Araraquara","","serie_c",""
"ferroviario_ce","Ferroviário Atlético Clube","Ferroviário","BR","CE","Fortaleza","","",""
"figueirense","Figueirense Futebol Clube","Figueirense","BR","SC","Florianópolis","Orlando Scarpelli","serie_c",""
"flamengo","Clube de Regatas do Flamengo","Flamengo","BR","RJ","Rio de Janeiro","Maracanã","serie_a","muito_alta"
"floresta","Floresta Esporte Clube","Floresta","BR","CE","Fortaleza","","serie_c",""
"fluminense","Fluminense Football Club","Fluminense","BR","RJ","Rio de Janeiro","Maracanã","serie_a","alta"
"fluminense_de_feira","Fluminense de Feira Futebol Clube","Fluminense de Feira","BR","BA","Feira de Santana","","",""
"fluminense_pi","Fluminense Esporte Clube (PI)","Fluminense-PI","BR","PI","Teresina","","",""
"fortaleza","Fortaleza Esporte Clube","Fortaleza","BR","CE","Fortaleza","Arena Castelão","serie_b","media"
"forte_fc","Forte Futebol Clube","Forte FC","BR","ES","Castelo","","",""
"foz_do_iguacu","Foz do Iguaçu Futebol Clube","Foz do Iguaçu","BR","PR","Foz do Iguaçu","","",""
"francana","Associação Atlética Francana","Francana","BR","SP","Franca","","",""
"galicia","Galícia Esporte Clube","Galícia","BR","BA","Salvador","Roberto Santos","",""
"galo_maringa","Adap Galo Maringá Futebol Clube","Galo Maringá","BR","PR","Maringá","","",""
"galvez","Galvez Esporte Clube","Galvez","BR","AC","Rio Branco","","",""
"gama","Sociedade Esportiva do Gama","Gama","BR","DF","Gama","Valmir Campelo Bezerra","",""
"gas","Grêmio Atlético Sampaio","GAS","BR","RR","Boa Vista","","",""
"genus","Genus Futebol Clube","Genus","BR","RO","Porto Velho","","",""
"globo_fc","Globo Futebol Clube","Globo","BR","RN","Ceará-Mirim","","",""
"gloria","Grêmio Esportivo Glória","Glória","BR","RS","Vacaria","","",""
"goias","Goiás Esporte Clube","Goiás","BR","GO","Goiânia","Serra Dourada","serie_b","media"
"goiatuba","Goiatuba Esporte Clube","Goiatuba","BR","GO","Goiatuba","Divino Garcia Rosa","",""
"gramadense","Centro Esportivo Gramadense","Gramadense","BR","RS","Gramado","","",""
"grapiuna","Grapiúna Atlético Clube","Grapiúna","BR","BA","Itabuna","Luiz Viana Filho","",""
"gremio","Grêmio Foot-Ball Porto Alegrense","Grêmio","BR","RS","Porto Alegre","Arena do Grêmio","serie_a","alta"
"gremio_bage","Grêmio Esportivo Bagé","Grêmio Bagé","BR","RS","Bagé","Pedra Moura","",""
"gremio_prudente","Grêmio Prudente Futebol","Grêmio Prudente","BR","SP","Presidente Prudente","","",""
"guapore_fc","Guaporé Futebol Clube","Guaporé","BR","RO","Rolim de Moura","Cassolão","",""
"guarai","Guaraí Esporte Clube","Guaraí","BR","TO","Guaraí","","",""
"guarani","Guarani Futebol Clube","Guarani","BR","SP","Campinas","Brinco de Ouro","serie_c","baixa"
"guarani_mg","Guarani Esporte Clube","Guarani-MG","BR","MG","Divinópolis","Waldemar Teixeira de Faria","",""
"guarani_va","Esporte Clube Guarani","Guarani-VA","BR","RS","Venâncio Aires","","",""
"guarany_bage","Guarany Futebol Clube","Guarany","BR","RS","Bagé","Antônio Magalhães Rossel","",""
"guarany_porto_da_folha","Guarany Futebol Clube (Porto da Folha)","Guarany","BR","SE","Porto da Folha","","",""
"gurupi","Gurupi Esporte Clube","Gurupi","BR","TO","Gurupi","","",""
"horizonte","Horizonte Futebol Clube","Horizonte","BR","CE","Horizonte","","",""
"humaita_ac","Sport Club Humaitá","Humaitá","BR","AC","Rio Branco","","",""
"iape","Instituto de Administração de Projetos Educacionais Futebol Clube","IAPE","BR","MA","São Luís","Nhozinho Santos","",""
"iguatu","Iguatu Esporte Clube","Iguatu","BR","CE","Iguatu","","",""
"imperatriz","Sociedade Imperatriz de Desportos","Imperatriz","BR","MA","Imperatriz","Frei Epifânio D'Abadia","",""
"independencia_ac","Independência Futebol Clube","Independência","BR","AC","Rio Branco","","",""
"independente_ap","Independente Esporte Clube (AP)","Independente-AP","BR","AP","Santana","","",""
"inhumas","Inhumas Esporte Clube","Inhumas","BR","GO","Inhumas","Zico Brandão","",""
"inter_de_bebedouro","Inter de Bebedouro Futebol Clube","Inter de Bebedouro","BR","SP","Bebedouro","","",""
"inter_de_limeira","Inter de Limeira Futebol Clube","Inter de Limeira","BR","SP","Limeira","","serie_c",""
"inter_santa_maria","Esporte Clube Internacional (Santa Maria)","Inter-SM","BR","RS","Santa Maria","Presidente Vargas","",""
"internacional","Sport Club Internacional","Internacional","BR","RS","Porto Alegre","Beira-Rio","serie_a","alta"
"ipatinga_fc","Ipatinga Futebol Clube","Ipatinga","BR","MG","Ipatinga","João Lamego Netto","",""
"ipojuca","Ipojuca","Ipojuca","BR","PE","Ipojuca","","",""
"itabaiana","Itabaiana Esporte Clube","Itabaiana","BR","SE","Itabaiana","","serie_c",""
"itabirito","Itabirito Futebol Clube","Itabirito","BR","MG","Itabirito","","",""
"itacoatiara","Itacoatiara Futebol Clube","Itacoatiara","BR","AM","Itacoatiara","","",""
"itapirense","Itapirense Futebol Clube","Itapirense","BR","SP","Itapira","","",""
"ituano","Ituano Futebol Clube","Ituano","BR","SP","Itu","","serie_c",""
"itz_sport","ITZ Sport","ITZ Sport","BR","MA","Imperatriz","Frei Epifânio D'Abadia","",""
"ivinhema","Ivinhema Futebol Clube","Ivinhema","BR","MS","Ivinhema","","",""
"jabaquara","Jabaquara Atlético Clube","Jabaquara","BR","SP","São Paulo","","",""
"jacarei","Jacareí Atlético Clube","Jacareí","BR","SP","Jacareí","","",""
"jacobina","Jacobina Esporte Clube","Jacobina","BR","BA","Jacobina","José Rocha","",""
"jacuipense","Jacuipense Esporte Clube","Jacuipense","BR","BA","Riachão do Jacuípe","Roberto Santos","",""
"jaguar","Jaguar","Jaguar","BR","PE","Jaboatão dos Guararapes","Arena Pernambuco","",""
"jataiense","Jataiense Esporte Clube","Jataiense","BR","GO","Jataí","Arapucão","",""
"jequie","Jequié Associação Desportiva","Jequié","BR","BA","Jequié","Waldomirão","",""
"ji_parana","Ji-Paraná Futebol Clube","Ji-Paraná","BR","RO","Ji-Paraná","","",""
"joinville","Joinville Esporte Clube","Joinville","BR","SC","Joinville","Arena Joinville","",""
"juazeirense","Juazeirense Sociedade Desportiva","Juazeirense","BR","BA","Juazeiro","Adauto Moraes","",""
"juventude","Esporte Clube Juventude","Juventude","BR","RS","Caxias do Sul","Alfredo Jaconi","serie_b","baixa"
"juventus_sp","Clube Atlético Juventus","Juventus","BR","SP","São Paulo","","",""
"lagarto","Lagarto Futebol Clube","Lagarto","BR","SE","Lagarto","","",""
"laguna","Associação Atlética Laguna","Laguna","BR","RN","Tibau do Sul","","",""
"lajeadense","Clube Esportivo Lajeadense","Lajeadense","BR","RS","Lajeado","Arena Alviazul","",""
"lemense","Lemense Futebol Clube","Lemense","BR","SP","Leme","","",""
"leonico","Associação Desportiva Leônico","Leônico","BR","BA","Salvador","Edgar Santos","",""
"linense","Associação Desportiva Classista Linense","Linense","BR","SP","Lins","","",""
"londrina","Londrina Esporte Clube","Londrina","BR","PR","Londrina","Estádio do Café","serie_b",""
"luminense_ma","Luminense Atlético Clube","Luminense","BR","MA","Paço do Lumiar","","",""
"luverdense","Luverdense Esporte Clube","Luverdense","BR","MT","Lucas do Rio Verde","Passo das Emas","",""
"mac","Maranhão Atlético Clube","MAC","BR","MA","São Luís","","serie_c",""
"macapa_ec","Esporte Clube Macapá","Macapá","BR","AP","Macapá","Zerão","",""
"madureira","Madureira Esporte Clube","Madureira","BR","RJ","Rio de Janeiro","Conselheiro Galvão","",""
"maguary","Maguary","Maguary","BR","PE","Bonito","Arthur Tavares de Melo","",""
"mamore","Esporte Clube Mamoré","Mamoré","BR","MG","Patos de Minas","Bernardo Rubinger de Queiroz","",""
"manauara","Manauara Esporte Clube","Manauara","BR","AM","Manaus","","",""
"manaus_fc","Manaus Futebol Clube","Manaus FC","BR","AM","Manaus","","",""
"maracana_ce","Maracanã Esporte Clube","Maracanã","BR","CE","Maracanaú","","",""
"maranguape","Maranguape Esporte Clube","Maranguape","BR","CE","Maranguape","","",""
"marcilio_dias","Clube Náutico Marcílio Dias","Marcílio Dias","BR","SC","Itajaí","","",""
"marica","Maricá Futebol Clube","Maricá","BR","RJ","Maricá","Municipal João Saldanha","",""
"marilia","Marília Atlético Clube","Marília","BR","SP","Marília","","",""
"maringa_fc","Maringá Futebol Clube","Maringá FC","BR","PR","Maringá","","serie_c",""
"mirassol","Mirassol Futebol Clube","Mirassol","BR","SP","Mirassol","Campos Maia","serie_a","muito_baixa"
"mixto","Mixto Esporte Clube","Mixto","BR","MT","Cuiabá","Arena Pantanal","",""
"monsoon","Monsoon Futebol Clube","Monsoon","BR","RS","Capão da Canoa","","",""
"monte_azul","Monte Azul Esporte Clube","Monte Azul","BR","SP","Monte Azul Paulista","","",""
"monte_roraima","Monte Roraima Futebol Clube","Monte Roraima","BR","RR","Boa Vista","","",""
"moto_club","Moto Club de São Luís","Moto Club","BR","MA","São Luís","","",""
"murici","Murici Futebol Clube","Murici","BR","AL","Murici","","",""
"nacional_am","Nacional Futebol Clube (AM)","Nacional-AM","BR","AM","Manaus","","",""
"nacional_catanduva","Nacional Futebol Clube (Catanduva)","Nacional","BR","SP","Catanduva","","",""
"nacional_patos","Nacional de Patos","Nacional de Patos","BR","PB","Patos","","",""
"nautico","Clube Náutico Capibaribe","Náutico","BR","PE","Recife","Aflitos","serie_b","baixa"
"nautico_rr","Náutico Futebol Clube (RR)","Náutico-RR","BR","RR","Boa Vista","","",""
"naviraiense","Clube Esportivo Naviraiense","Naviraiense","BR","MS","Naviraí","","",""
"noroeste","Associação Atlética Noroeste","Noroeste","BR","SP","Bauru","","",""
"north_ec","North Esporte Clube","North","BR","MG","Montes Claros","Juvêncio Augusto Soares","",""
"nova_iguacu","Nova Iguaçu Futebol Clube","Nova Iguaçu","BR","RJ","Nova Iguaçu","Jânio Moraes","",""
"nova_mutum","Nova Mutum Esporte Clube","Nova Mutum","BR","MT","Nova Mutum","Valdir Doilho Wons","",""
"novo_hamburgo","Esporte Clube Novo Hamburgo","Novo Hamburgo","BR","RS","Novo Hamburgo","Do Vale","",""
"novorizontino","Grêmio Novorizontino","Novorizontino","BR","SP","Novo Horizonte","Jorjão","serie_b","muito_baixa"
"oeirense","Oeirense Futebol Clube","Oeirense","BR","PI","Oeiras","","",""
"olaria","Olaria Atlético Clube","Olaria","BR","RJ","Rio de Janeiro","","",""
"operario_ferroviario","Operário Ferroviário Esporte Clube","Operário-PR","BR","PR","Ponta Grossa","Germano Krüger","serie_b",""
"operario_ms","Operário Futebol Clube","Operário-MS","BR","MS","Campo Grande","Moreninhas","",""
"operario_vg","Clube Esportivo Operário Várzea-Grandense","Operário-VG","BR","MT","Várzea Grande","Dito Souza","",""
"oratorio","Oratório Recreativo Clube","Oratório","BR","AP","Macapá","","",""
"osasco_sporting","Osasco Sporting Clube","Osasco Sporting","BR","SP","Osasco","","",""
"palmas_fc","Palmas Futebol e Regatas","Palmas","BR","TO","Palmas","","",""
"palmeiras","Sociedade Esportiva Palmeiras","Palmeiras","BR","SP","São Paulo","Allianz Parque","serie_a","muito_alta"
"pantanal_fc","Pantanal Futebol Clube","Pantanal","BR","MS","Ladário","","",""
"paranoa","Paranoá Esporte Clube","Paranoá","BR","DF","Paranoá","JK","",""
"parintins","Rio Parintins Esporte Clube","Parintins","BR","AM","Parintins","","",""
"parnahyba","Parnahyba Sport Club","Parnahyba","BR","PI","Parnaíba","","",""
"passo_fundo","Esporte Clube Passo Fundo","Passo Fundo","BR","RS","Passo Fundo","Vermelhão da Serra","",""
"patrocinense","Clube Atlético Patrocinense","Patrocinense","BR","MG","Patrocínio","Pedro Alves do Nascimento","",""
"paulista_jundiai","Paulista Futebol Clube","Paulista de Jundiaí","BR","SP","Jundiaí","","",""
"paysandu","Paysandu Sport Club","Paysandu","BR","PA","Belém","","serie_c",""
"pelotas","Esporte Clube Pelotas","Pelotas","BR","RS","Pelotas","Boca do Lobo","",""
"penapolense","Penapolense Futebol Clube","Penapolense","BR","SP","Penápolis","","",""
"penedense","Penedense Futebol Clube","Penedense","BR","AL","Penedo","","",""
"perolas_negras","Pérolas Negras Futebol Clube","Pérolas Negras","BR","RJ","Resende","","",""
"petropolis","Petrópolis Futebol Clube","Petrópolis","BR","RJ","Petrópolis","","",""
"piaui_ec","Piauí Esporte Clube","Piauí","BR","PI","Teresina","","",""
"pombal","Pombal Esporte Clube","Pombal","BR","PB","Pombal","","",""
"ponte_preta","Associação Atlética Ponte Preta","Ponte Preta","BR","SP","Campinas","Moisés Lucarelli","serie_b","baixa"
"porto_ba","Porto Sport Club","Porto","BR","BA","Porto Seguro","Municipal Agnaldo Bento dos Santos","",""
"porto_caruaru","Porto","Porto","BR","PE","Caruaru","","",""
"porto_velho_ec","Gazin Porto Velho Esporte Clube","Porto Velho","BR","RO","Porto Velho","","",""
"porto_vitoria","Porto Vitória Futebol Clube","Porto Vitória","BR","ES","Serra","","",""
"portuguesa","Associação Portuguesa de Desportos","Portuguesa","BR","SP","São Paulo","","",""
"portuguesa_rj","Associação Atlética Portuguesa","Portuguesa-RJ","BR","RJ","Rio de Janeiro","Luso-Brasileiro","",""
"portuguesa_santista","Portuguesa Santista","Portuguesa Santista","BR","SP","Santos","","",""
"potiguar_mossoro","Potiguar de Mossoró","Potiguar","BR","RN","Mossoró","","",""
"potyguar_seridoense","Potyguar Seridoense","Potyguar","BR","RN","Currais Novos","","",""
"pouso_alegre","Pouso Alegre Futebol Clube","Pouso Alegre","BR","MG","Pouso Alegre","Municipal Irmão Gino Maria Rossi","",""
"primavera","Primavera Esporte Clube","Primavera","BR","SP","Indaiatuba","","",""
"primavera_ac","Primavera Atlético Clube","Primavera","BR","MT","Primavera do Leste","Cerradão","",""
"princesa_do_solimoes","Princesa do Solimões Esporte Clube","Princesa do Solimões","BR","AM","Manacapuru","Gilbertão","",""
"progresso","Progresso Esporte Clube","Progresso","BR","RR","Boa Vista","","",""
"qfc","Quinho Futebol Clube","QFC","BR","RN","Parnamirim","","",""
"quixada","Quixadá Esporte Clube","Quixadá","BR","CE","Quixadá","","",""
"real_brasilia","Real Brasília Futebol Clube","Real Brasília","BR","DF","Brasília","Defelê","",""
"real_noroeste","Real Noroeste Capixaba Futebol Clube","Real Noroeste","BR","ES","Águia Branca","","",""
"red_bull_bragantino","Red Bull Bragantino","Bragantino","BR","SP","Bragança Paulista","Nabi Abi Chedid","serie_a","media"
"redencao","Redenção Futebol Clube","Redenção","BR","BA","Salvador","","",""
"remo","Clube do Remo","Remo","BR","PA","Belém","Baenão","serie_a","baixa"
"resende","Resende Futebol Clube","Resende","BR","RJ","Resende","","",""
"retro","Retrô Futebol Clube Brasil","Retrô","BR","PE","Camaragibe","Arena Pernambuco","",""
"rio_branco_ac","Rio Branco Futebol Clube (AC)","Rio Branco-AC","BR","AC","Rio Branco","","",""
"rio_branco_americana","Rio Branco Esporte Clube","Rio Branco (Americana)","BR","SP","Americana","","",""
"rio_branco_es","Rio Branco Atlético Clube","Rio Branco-ES","BR","ES","Vitória","","",""
